pair_index,timestamp,match_status,time_difference_minutes,distance_km,variable,era5_value,open-meteo_value,absolute_difference,percent_difference,agreement_flag
16810,2025-12-01T10:00:00Z,MATCHED,0.0,1.808,wind_speed,2.338,2.59,0.252,9.73,SOURCE_AGREEMENT_MEDIUM
16811,2025-12-01T11:00:00Z,MATCHED,0.0,1.808,temperature,23.538,23.5,0.038,0.161,SOURCE_AGREEMENT_HIGH
16811,2025-12-01T11:00:00Z,MATCHED,0.0,1.808,pressure,1012.936,968.4,44.536,4.397,SOURCE_AGREEMENT_HIGH
16811,2025-12-01T11:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16811,2025-12-01T11:00:00Z,MATCHED,0.0,1.808,wind_speed,2.203,2.02,0.183,8.307,SOURCE_AGREEMENT_MEDIUM
16812,2025-12-01T12:00:00Z,MATCHED,0.0,1.808,temperature,22.484,21.2,1.284,5.711,SOURCE_AGREEMENT_MEDIUM
16812,2025-12-01T12:00:00Z,MATCHED,0.0,1.808,pressure,1013.312,968.5,44.812,4.422,SOURCE_AGREEMENT_HIGH
16812,2025-12-01T12:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16812,2025-12-01T12:00:00Z,MATCHED,0.0,1.808,wind_speed,2.148,1.17,0.978,45.531,SOURCE_DISAGREEMENT
16813,2025-12-01T13:00:00Z,MATCHED,0.0,1.808,temperature,22.14,20.5,1.64,7.407,SOURCE_AGREEMENT_MEDIUM
16813,2025-12-01T13:00:00Z,MATCHED,0.0,1.808,pressure,1014.253,969.2,45.053,4.442,SOURCE_AGREEMENT_HIGH
16813,2025-12-01T13:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16813,2025-12-01T13:00:00Z,MATCHED,0.0,1.808,wind_speed,2.27,0.7,1.57,69.163,SOURCE_DISAGREEMENT
16814,2025-12-01T14:00:00Z,MATCHED,0.0,1.808,temperature,20.712,19.2,1.512,7.3,SOURCE_AGREEMENT_MEDIUM
16814,2025-12-01T14:00:00Z,MATCHED,0.0,1.808,pressure,1014.816,969.4,45.416,4.475,SOURCE_AGREEMENT_HIGH
16814,2025-12-01T14:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16814,2025-12-01T14:00:00Z,MATCHED,0.0,1.808,wind_speed,2.304,1.15,1.154,50.087,SOURCE_DISAGREEMENT
16815,2025-12-01T15:00:00Z,MATCHED,0.0,1.808,temperature,16.477,17.8,1.323,7.433,SOURCE_AGREEMENT_MEDIUM
16815,2025-12-01T15:00:00Z,MATCHED,0.0,1.808,pressure,1015.529,969.8,45.729,4.503,SOURCE_AGREEMENT_HIGH
16815,2025-12-01T15:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
